,PickUp,Drop,Bus_Type,From_To,Rating,Price,State
0,Bala Nagar,Bommalasatram,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,4.3,450.0,TSRTC
1,Chanda Nagar,RTC Bus Stand,NON AC Seater / Sleeper 2+1,hyderabad-to-nandyala,4.0,416.0,TSRTC
2,Chanda Nagar,Nandyala,A/C Sleeper (2+1),hyderabad-to-nandyala,4.0,648.0,TSRTC
3,Malakpet,noonepalli flyover,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,4.0,400.0,TSRTC
4,LB Nagar,noonepalli flyover,A/C Sleeper (2+1),hyderabad-to-nandyala,4.1,800.0,TSRTC
5,Vanasthalipuram,Nandyala,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,4.3,380.0,TSRTC
6,Osmania university,Nunepalli Bridge,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.9,399.0,TSRTC
7,Vanasthalipuram,Nandyala,A/C Sleeper (2+1),hyderabad-to-nandyala,4.1,800.0,TSRTC
8,Gandi Maisamma,Nandyala,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.5,500.0,TSRTC
9,Kachiguda,Bommalasatram,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,4.4,399.0,TSRTC
10,LB Nagar,Bommalasatram,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.5,450.0,TSRTC
11,Miyapur,Bommala Satram,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.6,399.0,TSRTC
12,Miyapur,Bommalasataram,A/C Sleeper (2+1),hyderabad-to-nandyala,4.7,900.0,TSRTC
13,Miyapur,noonepalli flyover,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.6,400.0,TSRTC
14,Vanasthalipuram,Nandyala,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,4.4,399.0,TSRTC
15,Ameerpet,Nandyala,Bharat Benz A/C Seater /Sleeper (2+1),hyderabad-to-nandyala,5.0,400.0,TSRTC
16,Dilsukhnagar,Nandyala,A/C Sleeper (2+1),hyderabad-to-nandyala,3.7,800.0,TSRTC
17,Vanasthalipuram,Bommalasataram,A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.4,600.0,TSRTC
18,Nagole,Nunepalli Bridge,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,4.4,399.0,TSRTC
19,Vanasthalipuram,nandyala,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,4.5,400.0,TSRTC
20,Miyapur,Nandyal,A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.6,480.0,TSRTC
21,Miyapur,Bommalasatram,A/C Sleeper (2+1),hyderabad-to-nandyala,2.9,800.0,TSRTC
22,Vanasthalipuram,Shanthiram Medical clg,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.4,500.0,TSRTC
